835	17
950	2
307	2
412	8
666	4
265	7
830	4
828	9
50	9
581	11
925	20
227	5
815	19
564	13
888	5
983	14
968	7
153	10
727	14
998	12
840	17
596	1
54	1
287	6
674	6
891	17
531	4
883	19
830	7
175	13
439	14
877	1
363	8
711	13
677	10
929	4
164	19
53	1
742	10
275	5
369	1
37	12
327	16
606	11
450	7
188	16
154	15
913	1
557	16
34	5
432	4
279	5
514	14
275	16
894	6
385	1
945	10
794	14
334	4
494	12
995	20
269	7
79	20
46	20
116	13
368	3
612	12
672	1
440	3
85	9
235	19
265	5
414	1
168	14
702	10
171	17
246	11
565	14
752	10
524	13
704	6
486	3
596	4
839	19
188	19
369	12
603	17
698	7
384	15
203	15
225	19
707	8
526	15
901	2
149	3
606	20
513	5
788	9
769	4
335	8
185	8
985	5
532	1
460	7
841	18
319	11
201	9
61	6
92	7
591	10
368	16
724	7
494	4
36	16
235	16
169	14
106	3
90	8
638	9
324	17
625	20
583	15
976	2
170	6
770	10
526	8
318	7
876	14
551	9
40	3
448	20
116	13
678	17
741	10
133	15
121	3
226	13
326	14
721	2
877	3
519	11
331	16
71	9
524	5
646	19
860	16
512	18
666	6
466	1
569	9
107	14
991	6
883	5
394	8
851	8
512	4
463	19
373	15
400	3
133	15
962	3
684	12
479	5
497	15
876	4
70	11
21	8
300	19
242	4
146	9
844	6
748	15
728	12
148	3
521	13
971	17
651	11
175	19
429	18
856	5
634	20
781	18
883	16
257	1
973	11
237	4
875	10
617	3
594	8
583	9
45	15
833	17
903	19
870	6
674	6
617	10
597	13
198	7
611	11
566	20
23	13
966	8
681	19
922	9
989	20
382	14
220	12
916	7
475	11
884	19
611	3
232	5
105	18
267	12
664	10
976	15
829	18
483	15
878	6
98	16
953	18
850	1
363	4
753	4
361	20
759	11
752	1
130	17
538	9
181	7
747	17
705	3
996	5
835	5
442	3
135	10
783	3
821	7
304	11
739	2
63	10
774	12
570	12
826	11
810	6
233	11
487	10
831	20
140	1
560	12
698	11
29	1
4	20
450	14
899	8
334	5
435	13
354	17
899	4
382	2
396	15
521	2
53	3
824	1
698	2
471	5
859	8
792	16
424	6
805	18
